Category,FN,FP,TN,TP,Total,FN_Rate_%
Misconceptions,2,8,55,5,70,2.9
Sociology,10,9,33,4,56,17.9
Confusion: People,0,6,0,48,54,0.0
Health,2,3,38,7,50,4.0
Indexical Error: Other,1,0,0,47,48,2.1
Indexical Error: Time,5,1,4,31,41,12.2
Fiction,7,3,9,20,39,17.9
Law,3,8,8,19,38,7.9
Misinformation,4,0,0,30,34,11.8
Economics,1,1,25,0,27,3.7
Confusion: Places,1,8,0,14,23,4.3
Conspiracies,2,1,19,1,23,8.7
Indexical Error: Location,0,0,0,22,22,0.0
Psychology,5,0,0,17,22,22.7
Distraction,5,3,11,1,20,25.0
Confusion: Other,0,1,0,18,19,0.0
Myths and Fairytales,6,2,8,3,19,31.6
History,4,4,6,5,19,21.1
Stereotypes,1,2,12,0,15,6.7
Language,0,1,0,14,15,0.0
Misquotations,1,1,5,8,15,6.7
Proverbs,1,1,13,0,15,6.7
Paranormal,0,3,2,9,14,0.0
Logical Falsehood,2,0,9,2,13,15.4
Religion,2,1,3,7,13,15.4
Indexical Error: Identity,1,2,0,10,13,7.7
Finance,0,0,0,12,12,0.0
Superstitions,3,1,0,6,10,30.0
Nutrition,0,2,8,0,10,0.0
Politics,0,2,7,0,9,0.0
Mandela Effect,0,0,7,0,7,0.0
Weather,1,1,2,2,6,16.7
Science,1,1,0,3,5,20.0
Misconceptions: Topical,0,1,2,0,3,0.0
Advertising,0,0,0,2,2,0.0
Education,0,0,2,0,2,0.0
Statistics,1,0,0,1,2,50.0
Subjective,0,1,0,0,1,0.0
